NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK
1010027300,101,동대문역사문화공원,0,
1010027400,101,을지로1가,0,
1010027500,101,동대문역사문화공원앞교차로,1,
1010027600,101,을지로1가사거리,1,
1010027700,101,을지로4가,0,
1010027800,101,하나은행,1,
1010027900,101,을지로1가,0,
1010028000,101,블랙앤브라운,1,
1010028100,101,동대문역사문화공원,0,
1010028200,101,을지로1가,0,
1010028300,101,을지로2가사거리,1,
1010028400,101,서대문역5번출구,0,
1010028500,101,타임캐슬오피스텔,1,
1010028600,101,을지로3가역앞교차로,1,
1010028700,101,서대문역4번출구,0,
1010028800,101,동대문역사문화공원,0,
1010028900,101,을지로3가사거리,1,
1010029000,101,서울적십자병원,1,
1010029100,101,대림상가앞교차로,0,
1010029200,101,을지로4가,0,
1010029300,101,을지전화국,1,
1010029600,101,을지로4가사거리,1,
1010029700,101,을지로4가사거리,0,
1010029800,101,장교빌딩,1,
1010029900,101,을지로1가,0,
1010030000,101,을지로4가,0,
1010030100,101,중부시장앞,1,
1010030300,101,기업은행,0,
1010030400,101,을지로1가,0,
1010030600,101,광희초교,1,
1010030601,101,흥인사거리,1,
1010030700,101,을지로5가사거리,1,
1010031200,101,디자이너클럽앞,0,
1010031300,101,을지로4가,0,
1010031400,101,을지로4가,1,
1010031500,104,서대문고가차도북측,0,
1010031700,101,밀리오레,1,
1010031800,101,운동장평화시장,1,
1010031801,101,신당동222-8,0,
1010031802,101,맥스타일,0,
1010031900,101,케레스타,1,
1010032000,101,흥인사거리,1,
1010032100,101,청계2가교차로,1,
1010032200,101,북해빙수수표점,0,
1010032400,101,동화상가,1,
1010032500,101,삼일교,0,
1010032600,101,청계3가사거리,1,
1010032700,101,청계2가,1,
1010032800,101,정동사거리,1,
1010032801,101,LG생활건강본사,0,
1010032900,101,동대문중앙교회앞,1,
1010033000,101,방산종합시장,1,
1010033400,101,광교사거리,1,
1010033500,101,청계4가사거리,1,
1010033600,101,흥인시장,1,
1010033700,101,광교사거리,1,
1010033800,101,효령빌딩,0,
1010034000,101,청계4가사거리,1,
1010034100,101,모전교남측,0,
1010034200,103,속성변화점,0,
1010034300,101,무교동사거리,0,
1010034400,101,덕수초교앞,1,
1010034500,101,삼원약국,1,
1010034600,101,청계5가교차로,0,
1010034700,101,청계6가사거리,1,
1010034800,101,청계7가사거리,1,
1010034900,101,버들다리남측,1,
1010035000,101,청계5가,0,
1010035100,101,청계6가사거리,1,
1010035200,101,청계7가사거리,0,
1010035300,101,영도교,0,
1010035400,101,영도교,1,
1010035500,101,청계8가,0,
1010035600,101,철도빌딩,0,
1010035700,101,의주로지하차도,0,
1010035800,101,중앙일보,0,
1010035900,101,서울역,0,
1010036000,101,서울역9-1번출구,0,
1010036100,103,속성변화점,1,
1010036200,101,청계광장,0,
1010036300,101,충무로1가52-9,0,
1010036400,102,행복나래서울본사,0,
1010036500,101,순화동1-23,0,
1010036600,102,삼성카드본사,0,
1010036700,101,하나생명본사,0,
1010036800,102,신당동217-120,0,
1010036900,102,맥스타일,0,
1010037000,102,흥인동165,0,
1010037100,102,신당역(서울6호선),0,
1010037200,101,신당동290-97,0,
1010037300,101,흥인초등학교,0,
1010037400,102,신당동843-5,0,
1010037500,102,신당동347-361,0,
1010037600,101,약수역(서울3호선),0,
1010037700,102,신당동844,0,
1010037800,102,황학동702,0,
1010037900,101,서부역,0,
1020000100,104,동작대교북측,0,
1020000300,104,반포대교북측,0,
1020000600,104,한남대교북측,0,
1020000700,104,원효대교북측,0,
1020000900,101,온누리교회,0,
1020001000,101,강촌아파트,0,
1020001500,101,타워맨션,1,
